13B0389,,1,B
13B0389,,2,C
13B0389,,3,B
13B0389,,4,E
13B0389,,5,D
13B0389,,6,A
13B0389,,7,E
13B0389,,8,B
13B0389,,9,D
13B0389,,10,C
13B0389,,11,A
13B0389,,12,C
13B0389,,16,A
13B0389,,17,B
13B0389,,18,D
13B0389,,19,E
13B0389,,20,D
13B0389,,21,A
13B0389,,22,C
13B0389,,23,E
13B0389,,24,B
13B0389,,27,A
13B0389,,28,E
13B0389,,31,A
13B0389,,32,D
13B0389,,33,D
13B0389,,34,D
13B0389,,35,C
13B0389,,36,A
13B0389,,37,A
13B0389,,38,E
13B0389,,39,E
13B0389,,40,C
13B0389,,41,A
13B0389,,42,B
13B0389,,43,C
13B0389,,44,D
13B0389,,45,E
13B0389,,46,A
13B0389,,47,C
13B0389,,48,B
13B0389,,49,D
13B0389,,50,C
13B0389,,51,A
13B0389,,52,C
13B0389,,53,D
13B0389,,55,B
13B0389,,58,B
13B0389,,59,D
